the_geom,cartodb_id,dt_start,dt_end,fishfry_uuid
,2722,2017-03-03 15:00:00+00,2017-03-04 00:00:00+00,32363f21-94bd-4f93-bcee-f8498c62cb2e
,2723,2017-03-24 14:00:00+00,2017-03-24 23:00:00+00,32363f21-94bd-4f93-bcee-f8498c62cb2e
,2724,2017-04-07 14:00:00+00,2017-04-07 23:00:00+00,32363f21-94bd-4f93-bcee-f8498c62cb2e
,2725,2017-03-31 14:00:00+00,2017-03-31 23:00:00+00,32363f21-94bd-4f93-bcee-f8498c62cb2e
,3409,2017-03-31 15:00:00+00,2017-03-31 23:00:00+00,8e6c3bee-1204-4522-8394-4be5b269656e
,3410,2017-03-03 16:00:00+00,2017-03-04 00:00:00+00,8e6c3bee-1204-4522-8394-4be5b269656e
,3411,2017-04-07 15:00:00+00,2017-04-07 23:00:00+00,8e6c3bee-1204-4522-8394-4be5b269656e
,3412,2017-03-01 16:00:00+00,2017-03-02 00:00:00+00,8e6c3bee-1204-4522-8394-4be5b269656e
,3413,2017-03-17 15:00:00+00,2017-03-17 23:00:00+00,8e6c3bee-1204-4522-8394-4be5b269656e
,3414,2017-03-24 15:00:00+00,2017-03-24 23:00:00+00,8e6c3bee-1204-4522-8394-4be5b269656e
,3415,2017-03-10 16:00:00+00,2017-03-11 00:00:00+00,8e6c3bee-1204-4522-8394-4be5b269656e
,2734,2017-03-01 16:00:00+00,2017-03-02 00:00:00+00,9
,2735,2017-04-14 15:00:00+00,2017-04-14 23:00:00+00,9
,2736,2017-03-31 15:00:00+00,2017-03-31 23:00:00+00,9
,2737,2017-03-03 16:00:00+00,2017-03-04 00:00:00+00,9
,2738,2017-04-07 15:00:00+00,2017-04-07 23:00:00+00,9
,2739,2017-03-17 15:00:00+00,2017-03-17 23:00:00+00,9
,2740,2017-03-10 16:00:00+00,2017-03-11 00:00:00+00,9
,2741,2017-03-24 15:00:00+00,2017-03-24 23:00:00+00,9
,2742,2017-04-07 19:00:00+00,2017-04-07 23:00:00+00,70
,2743,2017-03-01 14:00:00+00,2017-03-01 23:00:00+00,70
,2744,2017-04-14 19:00:00+00,2017-04-14 23:00:00+00,70
,2745,2017-03-10 20:00:00+00,2017-03-11 00:00:00+00,70
,2746,2017-03-17 19:00:00+00,2017-03-17 23:00:00+00,70
,2747,2017-03-31 19:00:00+00,2017-03-31 23:00:00+00,70
,2748,2017-03-03 20:00:00+00,2017-03-04 00:00:00+00,70
,2749,2017-03-24 19:00:00+00,2017-03-24 23:00:00+00,70
,2750,2017-03-17 15:00:00+00,2017-03-17 23:00:00+00,e4fb5621-f099-4ecc-91cf-2442c83ef2e8
,2751,2017-03-03 16:00:00+00,2017-03-04 00:00:00+00,e4fb5621-f099-4ecc-91cf-2442c83ef2e8
,2752,2017-04-07 15:00:00+00,2017-04-07 23:00:00+00,e4fb5621-f099-4ecc-91cf-2442c83ef2e8
,2753,2017-03-31 15:00:00+00,2017-03-31 23:00:00+00,e4fb5621-f099-4ecc-91cf-2442c83ef2e8
,2754,2017-03-24 15:00:00+00,2017-03-24 23:00:00+00,e4fb5621-f099-4ecc-91cf-2442c83ef2e8
,2755,2017-03-01 16:00:00+00,2017-03-02 00:00:00+00,e4fb5621-f099-4ecc-91cf-2442c83ef2e8
,2756,2017-03-17 15:00:00+00,2017-03-17 22:30:00+00,e218dbbe-e36e-499a-b01a-9772db405a66
,2757,2017-04-07 15:00:00+00,2017-04-07 22:30:00+00,e218dbbe-e36e-499a-b01a-9772db405a66
,2758,2017-03-01 16:00:00+00,2017-03-01 23:30:00+00,e218dbbe-e36e-499a-b01a-9772db405a66
,2759,2017-03-31 15:00:00+00,2017-03-31 22:30:00+00,e218dbbe-e36e-499a-b01a-9772db405a66
,2760,2017-03-24 15:00:00+00,2017-03-24 22:30:00+00,e218dbbe-e36e-499a-b01a-9772db405a66
,2761,2017-03-10 16:00:00+00,2017-03-10 23:30:00+00,e218dbbe-e36e-499a-b01a-9772db405a66
,2762,2017-04-14 15:00:00+00,2017-04-14 22:30:00+00,e218dbbe-e36e-499a-b01a-9772db405a66
,2763,2017-03-03 16:00:00+00,2017-03-03 23:30:00+00,e218dbbe-e36e-499a-b01a-9772db405a66
,2772,2017-04-14 15:00:00+00,2017-04-14 23:00:00+00,16
,2773,2017-03-17 15:00:00+00,2017-03-17 23:00:00+00,16
,2774,2017-03-03 16:00:00+00,2017-03-04 00:00:00+00,16
